original name,title,primary_name,rest_of_name,suffix,fuller_form,numbers,dates,birth date,death date,auth link,source
"Zueblin, Charles, 1866-1924.",,Zueblin,Charles,,,,1866-1924,1866,1924,,lcnaf
"Ross, Denman Waldo, 1853-1935.",,Ross,Denman Waldo,,,,1853-1935,1853,1935,http://id.loc.gov/authorities/names/nr97041458,lcnaf
"Andaya, Herman.",,Andaya,Herman,,,,,,,,lcnaf
"Cronkite, Walter.",,Cronkite,Walter,,,,,,,http://id.loc.gov/authorities/names/n79109028,lcnaf
"Lyttle, Alfred E.",,Lyttle,Alfred E,,,,,,,,lcnaf
"Dreier, Edward.",,Dreier,Edward,,,,,,,,lcnaf
"Sparks, Jared, 1789-1866.",,Sparks,Jared,,,,1789-1866,1789,1866,http://id.loc.gov/authorities/names/n50021686,lcnaf
"Granholm, Jennifer.",,Granholm,Jennifer,,,,,,,http://id.loc.gov/authorities/names/no2005059175,lcnaf
"Turner, Frederick Jackson, 1861-1932.",,Turner,Frederick Jackson,,,,1861-1932,1861,1932,http://id.loc.gov/authorities/names/n80010489,lcnaf
"Vander Veen, Arand.",,Vander Veen,Arand,,,,,,,,lcnaf
"Wright, Philo Elizar, 1828-1876.",,Wright,Philo Elizar,,,,1828-1876,1828,1876,,lcnaf
"Wetherill, Samuel Price.",,Wetherill,Samuel Price,,,,,,,,lcnaf
"Norrie, A. Lanfear, 1858-1910.",,Norrie,A. Lanfear,,,,1858-1910,1858,1910,,lcnaf
"Weurth, Rose Allmendinger.",,Weurth,Rose Allmendinger,,,,,,,,lcnaf
"Cavanagh, Jerome Patrick, 1928-1979.",,Cavanagh,Jerome Patrick,,,,1928-1979,1928,1979,,lcnaf
"Jackson, Robert Houghwout, 1892-1954.",,Jackson,Robert Houghwout,,,,1892-1954,1892,1954,http://id.loc.gov/authorities/names/n50027946,lcnaf
"Vandenberg, Arthur Hendrick, 1907-1968.",,Vandenberg,Arthur Hendrick,,,,1907-1968,1907,1968,http://id.loc.gov/authorities/names/no2008112511,lcnaf
"Engel, Leonard, 1916-1964.",,Engel,Leonard,,,,1916-1964,1916,1964,http://id.loc.gov/authorities/names/n50010380,lcnaf
"Lee, Spencer D.",,Lee,Spencer D,,,,,,,,lcnaf
"Knowland, Helen Davis Herrick.",,Knowland,Helen Davis Herrick,,,,,,,,lcnaf
"Raab, Harriet.",,Raab,Harriet,,,,,,,,lcnaf
"Costain, Thomas B. (Thomas Bertram), 1885-1965",,Costain,Thomas B.,,Thomas Bertram,,1885-1965,1885,1965,http://id.loc.gov/authorities/names/n50018153,lcnaf
"Woody, Woodrow W.",,Woody,Woodrow W,,,,,,,,lcnaf
"Sibley, Joseph.",,Sibley,Joseph,,,,,,,,lcnaf
"Prahalad, C. K.",,Prahalad,C. K,,,,,,,http://id.loc.gov/authorities/names/n82077061,lcnaf
"Wisner, Moses, 1815-1863.",,Wisner,Moses,,,,1815-1863,1815,1863,,lcnaf
"Pickard, Josiah Little, 1824-1914.",,Pickard,Josiah Little,,,,1824-1914,1824,1914,http://id.loc.gov/authorities/names/no2002079486,lcnaf
"Howe, Gordie, 1928-",,Howe,Gordie,,,,b. 1928,1928,,http://id.loc.gov/authorities/names/n50029079,lcnaf
"Abrams, G. D. (Gerald David), 1932-",,Abrams,G. D.,,Gerald David,,b. 1932,1932,,http://id.loc.gov/authorities/names/nr92042288,lcnaf
"Hubbard, Orville Liscum, 1903-1982.",,Hubbard,Orville Liscum,,,,1903-1982,1903,1982,http://id.loc.gov/authorities/names/n88286693,lcnaf
"Austin, Carolyn.",,Austin,Carolyn,,,,,,,,lcnaf
"Peckham, Howard H. (Howard Henry), 1910-1995.",,Peckham,Howard H.,,Howard Henry,,1910-1995,1910,1995,http://id.loc.gov/authorities/names/n50012423,lcnaf
"Carey, John.",,Carey,John,,,,,,,,lcnaf
"Skousen, Cleon.",,Skousen,Cleon,,,,,,,,lcnaf
"VerMeulen, James.",,VerMeulen,James,,,,,,,,lcnaf
"Perry, Stuart Hoffman, 1874-1957.",,Perry,Stuart Hoffman,,,,1874-1957,1874,1957,http://id.loc.gov/authorities/names/no2008017471,lcnaf
"Rusch, Wilbert H.",,Rusch,Wilbert H,,,,,,,,lcnaf
"Brodsky, Joseph, 1940-1996.",,Brodsky,Joseph,,,,1940-1996,1940,1996,http://id.loc.gov/authorities/names/n80022834,lcnaf
"Delano, Jack.",,Delano,Jack,,,,,,,http://id.loc.gov/authorities/names/n50039039,lcnaf
"Scripps, James E. (James Edmund), 1835-1906.",,Scripps,James E.,,James Edmund,,1835-1906,1835,1906,,lcnaf
"Baird, Elizabeth Therese Fisher, 1810-1890.",,Baird,Elizabeth Therese Fisher,,,,1810-1890,1810,1890,,lcnaf
"Johnson, Elias Finley, 1861-1933.",,Johnson,Elias Finley,,,,1861-1933,1861,1933,http://id.loc.gov/authorities/names/n86013736,lcnaf
"Wright, James F.",,Wright,James F,,,,,,,,lcnaf
"Patrick, Lawrence C.",,Patrick,Lawrence C,,,,,,,,lcnaf
"Nu, U, 1907-1995",,Nu,U,,,,1907-1995,1907,1995,http://id.loc.gov/authorities/names/n50053601,lcnaf
"Symington, Stuart, 1901-1988",,Symington,Stuart,,,,1901-1988,1901,1988,http://id.loc.gov/authorities/names/n87837464,lcnaf
"Carpenter, Kurt.",,Carpenter,Kurt,,,,,,,,lcnaf
"Green, Noah K., 1808-1886.",,Green,Noah K.,,,,1808-1886,1808,1886,,lcnaf
"Avery, Noyes L.",,Avery,Noyes L,,,,,,,,lcnaf
"Gilbert, Mary H.",,Gilbert,Mary H,,,,,,,http://id.loc.gov/authorities/names/no97007795,lcnaf
"Adamus, Greg.",,Adamus,Greg,,,,,,,,lcnaf
"Dresser, Horatio W. (Horatio Willis), b. 1866.",,Dresser,Horatio W.,,Horatio Willis,,b. 1866,1866,,,lcnaf
"Morgan, John Tyler, 1824-1907.",,Morgan,John Tyler,,,,1824-1907,1824,1907,http://id.loc.gov/authorities/names/n86808253,lcnaf
"Freedman, Deborah S.",,Freedman,Deborah S,,,,,,,,lcnaf
"McKinley, Earl Baldwin, 1894-1938.",,McKinley,Earl Baldwin,,,,1894-1938,1894,1938,http://id.loc.gov/authorities/names/n2011187081,lcnaf
"Cunliffe, John William, 1865-1946.",,Cunliffe,John William,,,,1865-1946,1865,1946,http://id.loc.gov/authorities/names/n50019321,lcnaf
"Morison, Samuel Eliot, 1887-1976.",,Morison,Samuel Eliot,,,,1887-1976,1887,1976,http://id.loc.gov/authorities/names/n79065131,lcnaf
"Schimpke, Albert J., 1899-1985, collector",,Schimpke,Albert J.,,,,1899-1985,1899,1985,,lcnaf
"Romney, Mitt.",,Romney,Mitt,,,,,,,http://id.loc.gov/authorities/names/nr95017857,lcnaf
"Wiley, Franklin Baldwin, 1861-1930.",,Wiley,Franklin Baldwin,,,,1861-1930,1861,1930,,lcnaf
"Kelsey, William Kline, 1885-",,Kelsey,William Kline,,,,b. 1885,1885,,,lcnaf
"Galbraith, John Kenneth, 1908-2006.",,Galbraith,John Kenneth,,,,1908-2006,1908,2006,http://id.loc.gov/authorities/names/n79061210,lcnaf
"Doubleday, Russell, 1872-1949.",,Doubleday,Russell,,,,1872-1949,1872,1949,http://id.loc.gov/authorities/names/nb99031419,lcnaf
"Asbury, Hubert, 1891-1963.",,Asbury,Hubert,,,,1891-1963,1891,1963,,lcnaf
"MacDonald, Thomas H. (Thomas Harris), b. 1881.",,MacDonald,Thomas H.,,Thomas Harris,,b. 1881,1881,,,lcnaf
"Yerkes, Robert Mearns, 1876-1956.",,Yerkes,Robert Mearns,,,,1876-1956,1876,1956,http://id.loc.gov/authorities/names/n79139023,lcnaf
"Trammell, Dausie W.",,Trammell,Dausie W,,,,,,,,lcnaf
"Armour, Norman.",,Armour,Norman,,,,,,,,lcnaf
"Strube, William P.",,Strube,William P,,,,,,,http://id.loc.gov/authorities/names/no99001831,lcnaf
"Schnitzer, Robert C., 1906-",,Schnitzer,Robert C.,,,,b. 1906,1906,,,lcnaf
"Odgers, Susan.",,Odgers,Susan,,,,,,,,lcnaf
"Cret, Paul Philippe, 1876-1945.",,Cret,Paul Philippe,,,,1876-1945,1876,1945,http://id.loc.gov/authorities/names/n85277034,lcnaf
"LaDuke, Theodore, 1900-",,LaDuke,Theodore,,,,b. 1900,1900,,,lcnaf
"Meitner, Lise, 1878-1968.",,Meitner,Lise,,,,1878-1968,1878,1968,http://id.loc.gov/authorities/names/n81015638,lcnaf
"Rose, David S., b. 1856.",,Rose,David S.,,,,b. 1856,1856,,,lcnaf
"Hathaway, F. R.",,Hathaway,F. R,,,,,,,,lcnaf
"Mullins, Eustace, 1923-2010",,Mullins,Eustace,,,,1923-2010,1923,2010,http://id.loc.gov/authorities/names/n50044808,lcnaf
"Raff, George.",,Raff,George,,,,,,,,lcnaf
"Newell, Barbara W.",,Newell,Barbara W,,,,,,,,lcnaf
"Seni Pramoj, M. R., 1905-",,Seni Pramoj,M. R.,,,,b. 1905,1905,,,lcnaf
"Polk, Frank L. (Frank Lyon), 1871-1943.",,Polk,Frank L.,,Frank Lyon,,1871-1943,1871,1943,http://id.loc.gov/authorities/names/n85386446,lcnaf
"Shettler, Reuben.",,Shettler,Reuben,,,,,,,,lcnaf
"Spellman, Francis, 1889-1967.",,Spellman,Francis,,,,1889-1967,1889,1967,http://id.loc.gov/authorities/names/n84018580,lcnaf
"Coburn, Charles Douville, 1877-1961.",,Coburn,Charles Douville,,,,1877-1961,1877,1961,,lcnaf
"Bush, George W. (George Walker), 1946-",,Bush,George W.,,George Walker,,b. 1946,1946,,http://id.loc.gov/authorities/names/no95049848,lcnaf
"Adams, Bertha H. Wright.",,Adams,Bertha H. Wright,,,,,,,,lcnaf
"Archer, Glenn Leroy, 1906-",,Archer,Glenn Leroy,,,,b. 1906,1906,,,lcnaf
"Sayre, Francis Bowes, 1885-1972.",,Sayre,Francis Bowes,,,,1885-1972,1885,1972,http://id.loc.gov/authorities/names/no89019986,lcnaf
"Markert, Clement L. (Clement Lawrence), 1917-1999.",,Markert,Clement L.,,Clement Lawrence,,1917-1999,1917,1999,http://id.loc.gov/authorities/names/n86019308,lcnaf
"Spill, William Ambrose, 1876-",,Spill,William Ambrose,,,,b. 1876,1876,,,lcnaf
"Harriman, Karl Edwin, 1875-1935.",,Harriman,Karl Edwin,,,,1875-1935,1875,1935,http://id.loc.gov/authorities/names/no2003086952,lcnaf
"Bailey, L. H. (Liberty Hyde), 1858-1954.",,Bailey,L. H.,,Liberty Hyde,,1858-1954,1858,1954,http://id.loc.gov/authorities/names/n50017591,lcnaf
"Taubman, A. Alfred.",,Taubman,A. Alfred,,,,,,,http://id.loc.gov/authorities/names/n2006080382,lcnaf
"Gaede, Erwin A.",,Gaede,Erwin A,,,,,,,,lcnaf
"Niebuhr, Reinhold, 1892-1971.",,Niebuhr,Reinhold,,,,1892-1971,1892,1971,http://id.loc.gov/authorities/names/n79018599,lcnaf
"Millard, Dorothy McCorkell.",,Millard,Dorothy McCorkell,,,,,,,,lcnaf
"Chavis, John.",,Chavis,John,,,,,,,,lcnaf
"Barry, John Stewart, 1802-1870.",,Barry,John Stewart,,,,1802-1870,1802,1870,,lcnaf
"Sinclair, Upton, 1878-1968.",,Sinclair,Upton,,,,1878-1968,1878,1968,http://id.loc.gov/authorities/names/n79127862,lcnaf
"Brittain, Vera, 1893-1970.",,Brittain,Vera,,,,1893-1970,1893,1970,http://id.loc.gov/authorities/names/n81018727,lcnaf
"Chambers, Evan K., 1963-",,Chambers,Evan K.,,,,b. 1963,1963,,http://id.loc.gov/authorities/names/nr96015638,lcnaf
"Pickford, Mary, 1892-1979.",,Pickford,Mary,,,,1892-1979,1892,1979,http://id.loc.gov/authorities/names/n50019725,lcnaf
"Shaw, Wilfred B., 1880-1959.",,Shaw,Wilfred B.,,,,1880-1959,1880,1959,,lcnaf
"Dawson, Percy M. (Percy Millard), 1873-",,Dawson,Percy M.,,Percy Millard,,b. 1873,1873,,http://id.loc.gov/authorities/names/n85807914,lcnaf
"Gillette, Guy M.",,Gillette,Guy M,,,,,,,,lcnaf
"Binet, Alfred, 1857-1911.",,Binet,Alfred,,,,1857-1911,1857,1911,http://id.loc.gov/authorities/names/n50009385,lcnaf
"Pearl, Edward E.",,Pearl,Edward E,,,,,,,,lcnaf
"Newcomb, H. T. (Harry Turner), 1867-1944.",,Newcomb,H. T.,,Harry Turner,,1867-1944,1867,1944,http://id.loc.gov/authorities/names/n80120865,lcnaf
"Chandler, George Moseley.",,Chandler,George Moseley,,,,,,,,lcnaf
"Barrett, Frank Aloysius, 1892-1962.",,Barrett,Frank Aloysius,,,,1892-1962,1892,1962,http://id.loc.gov/authorities/names/n97087918,lcnaf
"Cannell, Charles F.",,Cannell,Charles F,,,,,,,http://id.loc.gov/authorities/names/n79119024,lcnaf
"Sylvester, Arthur, 1901-",,Sylvester,Arthur,,,,b. 1901,1901,,,lcnaf
"Ramos, Alfredo.",,Ramos,Alfredo,,,,,,,,lcnaf
"Rolfe, John Carew, 1859-1943.",,Rolfe,John Carew,,,,1859-1943,1859,1943,http://id.loc.gov/authorities/names/n86852297,lcnaf
"McKenzie, Roderick Duncan, 1885-1940.",,McKenzie,Roderick Duncan,,,,1885-1940,1885,1940,http://id.loc.gov/authorities/names/n50007248,lcnaf
"Gibb, Russ, 1931-",,Gibb,Russ,,,,b. 1931,1931,,,lcnaf
"Warthin, Aldred Scott, 1866-1931.",,Warthin,Aldred Scott,,,,1866-1931,1866,1931,http://id.loc.gov/authorities/names/n79062897,lcnaf
"Rankin, Thomas Ernest, 1872-1953.",,Rankin,Thomas Ernest,,,,1872-1953,1872,1953,http://id.loc.gov/authorities/names/no2001052944,lcnaf
"Pomari, M.",,Pomari,M,,,,,,,,lcnaf
"Yih, Chia-Shun, 1918-1997.",,Yih,Chia-Shun,,,,1918-1997,1918,1997,http://id.loc.gov/authorities/names/n79138705,lcnaf
"Pilcher, John L. (John Leonard), 1898-1981",,Pilcher,John L.,,John Leonard,,1898-1981,1898,1981,http://id.loc.gov/authorities/names/n85337403,lcnaf
"Tolstoy, Leo, 1828-1910.",,Tolstoy,Leo,,,,1828-1910,1828,1910,http://id.loc.gov/authorities/names/n79068416,lcnaf
"Rosenthal, Lessing, 1868-1949.",,Rosenthal,Lessing,,,,1868-1949,1868,1949,http://id.loc.gov/authorities/names/n85204890,lcnaf
"Robinson, Samuel S. (Samuel Stillman), 1824-1904.",,Robinson,Samuel S.,,Samuel Stillman,,1824-1904,1824,1904,,lcnaf
"Walton, Ivan.",,Walton,Ivan,,,,,,,http://id.loc.gov/authorities/names/n82048840,lcnaf
"Hunter, Ruth McCullough.",,Hunter,Ruth McCullough,,,,,,,,lcnaf
"Denison, Charles Simeon, 1849-1913.",,Denison,Charles Simeon,,,,1849-1913,1849,1913,,lcnaf
"Kennedy, Frank R., 1914-",,Kennedy,Frank R.,,,,b. 1914,1914,,,lcnaf
"Alvarado Mendoza, Arturo.",,Alvarado Mendoza,Arturo,,,,,,,http://id.loc.gov/authorities/names/n87892248,lcnaf
"Siney, Marion Celestia, 1913-",,Siney,Marion Celestia,,,,b. 1913,1913,,,lcnaf
"Gibson, Kenneth Richard, 1895-1959.",,Gibson,Kenneth Richard,,,,1895-1959,1895,1959,,lcnaf
"Banfield, William C., 1961-",,Banfield,William C.,,,,b. 1961,1961,,http://id.loc.gov/authorities/names/no96003563,lcnaf
"Lipphard, William B. (William Benjamin), b. 1886.",,Lipphard,William B.,,William Benjamin,,b. 1886,1886,,http://id.loc.gov/authorities/names/no93015421,lcnaf
"Sharpe, Nelson, 1858-1935.",,Sharpe,Nelson,,,,1858-1935,1858,1935,,lcnaf
"Fisher, Rolland E.",,Fisher,Rolland E,,,,,,,,lcnaf
"Balzhiser, Richard E.",,Balzhiser,Richard E,,,,,,,http://id.loc.gov/authorities/names/n99010449,lcnaf
"Higginson, Thomas Wentworth, 1823-1911.",,Higginson,Thomas Wentworth,,,,1823-1911,1823,1911,http://id.loc.gov/authorities/names/n50034600,lcnaf
"Barbour, Levi L. (Levi Lewis), 1840-1925.",,Barbour,Levi L.,,Levi Lewis,,1840-1925,1840,1925,http://id.loc.gov/authorities/names/n85809443,lcnaf
"Lucia, Carmen, 1902-",,Lucia,Carmen,,,,b. 1902,1902,,http://id.loc.gov/authorities/names/n92080645,lcnaf
"Hutton, Edward Francis, 1877-1962.",,Hutton,Edward Francis,,,,1877-1962,1877,1962,,lcnaf
"Plamer, Louisa Fidelia.",,Plamer,Louisa Fidelia,,,,,,,,lcnaf
"Wood, De Volson, 1832-1897.",,Wood,De Volson,,,,1832-1897,1832,1897,http://id.loc.gov/authorities/names/n84805012,lcnaf
"Taylor, S. Vern (Seneca Vern), 1887-1969.",,Taylor,S. Vern,,Seneca Vern,,1887-1969,1887,1969,,lcnaf
"Comstock, Addison J., 1802-1867.",,Comstock,Addison J.,,,,1802-1867,1802,1867,,lcnaf
"Burnham, William Henry, 1855-1941.",,Burnham,William Henry,,,,1855-1941,1855,1941,http://id.loc.gov/authorities/names/no2004122092,lcnaf
"Sorokin, Pitirim Aleksandrovich, 1889-1968.",,Sorokin,Pitirim Aleksandrovich,,,,1889-1968,1889,1968,http://id.loc.gov/authorities/names/n50000868,lcnaf
"Bassett, Leslie, 1923-",,Bassett,Leslie,,,,b. 1923,1923,,http://id.loc.gov/authorities/names/n81062079,lcnaf
"Shane, Charles Donald, 1895-1983",,Shane,Charles Donald,,,,1895-1983,1895,1983,http://id.loc.gov/authorities/names/n2011018878,lcnaf
"Bowen, John Edmund.",,Bowen,John Edmund,,,,,,,,lcnaf
"Clippert, Conrad J., 1834-1901.",,Clippert,Conrad J.,,,,1834-1901,1834,1901,,lcnaf
"Moody, Christella D. Journey through South Africa. 1991.",,Moody,Christella D. Journey through South Africa. 1991,,,,,,,,lcnaf
"Mann, Charles Riborg, 1869-1942.",,Mann,Charles Riborg,,,,1869-1942,1869,1942,http://id.loc.gov/authorities/names/n83228678,lcnaf
"Eckart, Carl, 1902-1973",,Eckart,Carl,,,,1902-1973,1902,1973,http://id.loc.gov/authorities/names/n86873209,lcnaf
"Lawrence, David, 1888-",,Lawrence,David,,,,b. 1888,1888,,,lcnaf
"Collins, John J. (John Joseph), 1935-",,Collins,John J.,,John Joseph,,b. 1935,1935,,,lcnaf
"Morgan, Arthur Ernest, 1878-1975.",,Morgan,Arthur Ernest,,,,1878-1975,1878,1975,http://id.loc.gov/authorities/names/n50006290,lcnaf
"Dalgleish, Charles.",,Dalgleish,Charles,,,,,,,,lcnaf
"Hooper, Warren G.--Assassination.",,Hooper,Warren G,,,,,,,,lcnaf
"Den Bleyker, Paulus, 1804-1872.",,Den Bleyker,Paulus,,,,1804-1872,1804,1872,,lcnaf
"Thomas, Danny.",,Thomas,Danny,,,,,,,http://id.loc.gov/authorities/names/n83154867,lcnaf
"Platt, Orville Hitchcock, 1827-1905.",,Platt,Orville Hitchcock,,,,1827-1905,1827,1905,http://id.loc.gov/authorities/names/n89125993,lcnaf
"Kefauver, Estes, 1903-1963.",,Kefauver,Estes,,,,1903-1963,1903,1963,http://id.loc.gov/authorities/names/n79144615,lcnaf
"Rinsey, David, b. 1838.",,Rinsey,David,,,,b. 1838,1838,,,lcnaf
"Wedemeyer, William Walter, 1873-1913.",,Wedemeyer,William Walter,,,,1873-1913,1873,1913,http://id.loc.gov/authorities/names/no2008188959,lcnaf
"Mansfield, Mike, 1903-2001",,Mansfield,Mike,,,,1903-2001,1903,2001,http://id.loc.gov/authorities/names/n79132138,lcnaf
"Shriver, Sargent, 1915-2011",,Shriver,Sargent,,,,1915-2011,1915,2011,http://id.loc.gov/authorities/names/n85185740,lcnaf
"Jenkins, Guy H.",,Jenkins,Guy H,,,,,,,,lcnaf
"Askren, D. L.",,Askren,D. L,,,,,,,,lcnaf
"Beckley, Zoe, d. 1961.",,Beckley,Zoe,,,,d. 1961,,1961,,lcnaf
"Haviland, Dale.",,Haviland,Dale,,,,,,,http://id.loc.gov/authorities/names/no98133472,lcnaf
"Breakey, William Fleming, 1835-1915.",,Breakey,William Fleming,,,,1835-1915,1835,1915,,lcnaf
"McGuigan, Dorothy Gies.",,McGuigan,Dorothy Gies,,,,,,,http://id.loc.gov/authorities/names/n50007843,lcnaf
"Penney, William George, Sir, 1909-",Sir,Penney,William George,,,,b. 1909,1909,,,lcnaf
"Mencken, H. L. (Henry Louis), 1880-1956.",,Mencken,H. L.,,Henry Louis,,1880-1956,1880,1956,http://id.loc.gov/authorities/names/n80036702,lcnaf
"Butts, William Henry.",,Butts,William Henry,,,,,,,,lcnaf
"Cope, Helen Gibson.",,Cope,Helen Gibson,,,,,,,,lcnaf
"Sloan, Herbert.",,Sloan,Herbert,,,,,,,,lcnaf
"Miller, Samuel Freeman, 1816-1890.",,Miller,Samuel Freeman,,,,1816-1890,1816,1890,http://id.loc.gov/authorities/names/n84034343,lcnaf
"Hall, James Parker, 1871-1928.",,Hall,James Parker,,,,1871-1928,1871,1928,http://id.loc.gov/authorities/names/n87856713,lcnaf
"Cavanagh, George, 1872-1950.",,Cavanagh,George,,,,1872-1950,1872,1950,,lcnaf
"Young, Leigh Jarvis, 1883-1960.",,Young,Leigh Jarvis,,,,1883-1960,1883,1960,,lcnaf
"Balch, Nathaniel A. (Nathaniel Aldrich), 1808-1894.",,Balch,Nathaniel A.,,Nathaniel Aldrich,,1808-1894,1808,1894,,lcnaf
"Crouse, Robert, 1813-1869.",,Crouse,Robert,,,,1813-1869,1813,1869,,lcnaf
"Hatch, Rufus, 1785-1825.",,Hatch,Rufus,,,,1785-1825,1785,1825,,lcnaf
"Seymour, James.",,Seymour,James,,,,,,,,lcnaf
"Edington, D. W., 1937-",,Edington,D. W.,,,,b. 1937,1937,,http://id.loc.gov/authorities/names/n82237954,lcnaf
"Cornelius, Louis A., 1870-1951.",,Cornelius,Louis A.,,,,1870-1951,1870,1951,,lcnaf
"Slatford, John, b. 1817.",,Slatford,John,,,,b. 1817,1817,,,lcnaf
"Clarke, Peter.",,Clarke,Peter,,,,,,,,lcnaf
"Rubin, Jerry.",,Rubin,Jerry,,,,,,,http://id.loc.gov/authorities/names/n50022680,lcnaf
"Kolbe, Frank F.",,Kolbe,Frank F,,,,,,,,lcnaf
"Boldyreff, W.",,Boldyreff,W,,,,,,,,lcnaf
"Potter, William W., 1869-1940.",,Potter,William W.,,,,1869-1940,1869,1940,http://id.loc.gov/authorities/names/no2008089537,lcnaf
"Palmer, Alonzo Benjamin, 1815-1887.",,Palmer,Alonzo Benjamin,,,,1815-1887,1815,1887,http://id.loc.gov/authorities/names/n85801637,lcnaf
"Bailey, Bea.",,Bailey,Bea,,,,,,,http://id.loc.gov/authorities/names/no2009070890,lcnaf
"Adams, James Patrick.",,Adams,James Patrick,,,,,,,,lcnaf
"Cares, Charles W.",,Cares,Charles W,,,,,,,,lcnaf
"Fairchild, Marian H.",,Fairchild,Marian H,,,,,,,,lcnaf
"Rose, David Kenneth, 1902-1963.",,Rose,David Kenneth,,,,1902-1963,1902,1963,,lcnaf
"Dodge, Cynthia.",,Dodge,Cynthia,,,,,,,,lcnaf
"Byrd, David R.",,Byrd,David R,,,,,,,,lcnaf
"Pond, Allen Bartlit, 1858-1929.",,Pond,Allen Bartlit,,,,1858-1929,1858,1929,,lcnaf
"Durand, Edward Dana, b. 1871.",,Durand,Edward Dana,,,,b. 1871,1871,,,lcnaf
"Rockefeller, Winthrop, 1912-1973.",,Rockefeller,Winthrop,,,,1912-1973,1912,1973,http://id.loc.gov/authorities/names/n90693322,lcnaf
"Stevenson, John James, 1841-1924.",,Stevenson,John James,,,,1841-1924,1841,1924,http://id.loc.gov/authorities/names/n88172355,lcnaf
"Boutroux, Etienne E. (Etienne Émile), 1845-1921.",,Boutroux,Etienne E.,,Etienne Émile,,1845-1921,1845,1921,,lcnaf
"Romney, Lenore LaFount.",,Romney,Lenore LaFount,,,,,,,,lcnaf
"Morgan, Lucy Stow.",,Morgan,Lucy Stow,,,,,,,,lcnaf
"Bigby, Paul.",,Bigby,Paul,,,,,,,,lcnaf
"Royce, Ceswell.",,Royce,Ceswell,,,,,,,,lcnaf
"Bundy, McGeorge.",,Bundy,McGeorge,,,,,,,http://id.loc.gov/authorities/names/n50040470,lcnaf
"Allen, Glenn S., 1914-2001.",,Allen,Glenn S.,,,,1914-2001,1914,2001,http://id.loc.gov/authorities/names/no2008133142,lcnaf
"Crane, Frank, 1861-1928.",,Crane,Frank,,,,1861-1928,1861,1928,http://id.loc.gov/authorities/names/n84804025,lcnaf
"Blazier, Craig.",,Blazier,Craig,,,,,,,,lcnaf
"Muirhead, John Henry, 1855-1940.",,Muirhead,John Henry,,,,1855-1940,1855,1940,,lcnaf
"Bandholtz, Harry Hill, 1864-1925.",,Bandholtz,Harry Hill,,,,1864-1925,1864,1925,http://id.loc.gov/authorities/names/n2001023829,lcnaf
"Dix, John Alden, 1860-1928.",,Dix,John Alden,,,,1860-1928,1860,1928,http://id.loc.gov/authorities/names/n97067698,lcnaf
"Percy, Charles H., 1919-2011",,Percy,Charles H.,,,,1919-2011,1919,2011,http://id.loc.gov/authorities/names/n50009663,lcnaf
"Ten Hoor, Marten, 1890-",,Ten Hoor,Marten,,,,b. 1890,1890,,http://id.loc.gov/authorities/names/no2012149921,lcnaf
"Drake, Ludlum C.",,Drake,Ludlum C,,,,,,,,lcnaf
"McLellan, Richard D.",,McLellan,Richard D,,,,,,,,lcnaf
"Hartke, Vance.",,Hartke,Vance,,,,,,,,lcnaf
"Felker, Clay.",,Felker,Clay,,,,,,,http://id.loc.gov/authorities/names/n00041042,lcnaf
"Evans, E. P. (Edward Payson), 1831-1917.",,Evans,E. P.,,Edward Payson,,1831-1917,1831,1917,http://id.loc.gov/authorities/names/n90682762,lcnaf
"Manning, John L.",,Manning,John L,,,,,,,,lcnaf
"Ranville, Michael, 1943-",,Ranville,Michael,,,,b. 1943,1943,,http://id.loc.gov/authorities/names/n96059329,lcnaf
"Towne, Amos C., b. 1818.",,Towne,Amos C.,,,,b. 1818,1818,,,lcnaf
"Ringo, Ernest Richard.",,Ringo,Ernest Richard,,,,,,,,lcnaf
"Swainson, John B. (John Burley), 1925-1994.",,Swainson,John B.,,John Burley,,1925-1994,1925,1994,http://id.loc.gov/authorities/names/n2003087794,lcnaf
"Clements, William L. (William Lawrence), 1861-1934.",,Clements,William L.,,William Lawrence,,1861-1934,1861,1934,http://id.loc.gov/authorities/names/nr94018515,lcnaf
"Glass, Harry.",,Glass,Harry,,,,,,,,lcnaf
"Ovshinsky, Harvey.",,Ovshinsky,Harvey,,,,,,,,lcnaf
"Eldersveld, Samuel James.",,Eldersveld,Samuel James,,,,,,,http://id.loc.gov/authorities/names/n80112971,lcnaf
"McMahon, Juliet.",,McMahon,Juliet,,,,,,,,lcnaf
"Alsop, Joseph, 1910-1989",,Alsop,Joseph,,,,1910-1989,1910,1989,http://id.loc.gov/authorities/names/n81035380,lcnaf
"Kaplan, Ida Roettinger, 1913-",,Kaplan,Ida Roettinger,,,,b. 1913,1913,,http://id.loc.gov/authorities/names/no2001009594,lcnaf
"Fredgrant, Sara, 1900-",,Fredgrant,Sara,,,,b. 1900,1900,,,lcnaf
"Mazrui, Ali Al Amin.",,Mazrui,Ali Al Amin,,,,,,,,lcnaf
"Gilfillan, Lauren, 1909-",,Gilfillan,Lauren,,,,b. 1909,1909,,http://id.loc.gov/authorities/names/nb98051213,lcnaf
"Fowler, Ann Schwartz Smith.",,Fowler,Ann Schwartz Smith,,,,,,,,lcnaf
"Buckley, Edward, b. 1842.",,Buckley,Edward,,,,b. 1842,1842,,,lcnaf
"Clover, Elzada Urseba, 1897-1980.",,Clover,Elzada Urseba,,,,1897-1980,1897,1980,,lcnaf
